Column 1,Column 2,Column 3,Column 4,Column 5
0.71771743,0.92240741,0.75558005,0.86103374,0.51493398
0.95694072,0.00240560,0.74484081,0.46618563,0.75757792
0.23048850,0.42507037,0.31189884,0.27795109,0.43195273
0.53999382,0.01571988,0.69568683,0.54472151,0.01177747
0.32806307,0.37618348,0.21882741,0.33817811,0.43505232
0.13365346,0.44311865,0.00673531,0.97997514,0.01353288
0.85174509,0.59295320,0.92561783,0.02827771,0.44510950
0.80176753,0.35024185,0.86354455,0.55799137,0.02977528
0.89248610,0.74360262,0.65258338,0.04981586,0.31802131
0.26504661,0.12182836,0.55533385,0.49557033,0.16244692
